DT_ID,PG_OC_AVG
2023-01-03 00:00:00,151.260002
2023-01-04 00:00:00,152.110001
2023-01-05 00:00:00,151.275002
2023-01-06 00:00:00,152.885002
2023-01-09 00:00:00,152.739998
2023-01-10 00:00:00,151.995003
2023-01-11 00:00:00,151.490005
2023-01-12 00:00:00,150.754997
2023-01-13 00:00:00,150.245003
2023-01-17 00:00:00,150.614998
2023-01-18 00:00:00,148.035004
2023-01-19 00:00:00,142.864998
2023-01-20 00:00:00,142.645004
2023-01-23 00:00:00,142.205002
2023-01-24 00:00:00,141.255005
2023-01-25 00:00:00,141.055000
2023-01-26 00:00:00,141.439995
2023-01-27 00:00:00,140.820007
2023-01-30 00:00:00,140.985001
2023-01-31 00:00:00,141.805000
2023-02-01 00:00:00,142.635002
2023-02-02 00:00:00,142.169998
2023-02-03 00:00:00,142.695000
2023-02-06 00:00:00,141.704994
2023-02-07 00:00:00,139.995003
2023-02-08 00:00:00,138.815002
2023-02-09 00:00:00,137.965004
2023-02-10 00:00:00,137.604996
2023-02-13 00:00:00,139.505005
2023-02-14 00:00:00,139.709999
2023-02-15 00:00:00,139.035004
2023-02-16 00:00:00,137.264999
2023-02-17 00:00:00,138.299995
2023-02-21 00:00:00,139.389999
2023-02-22 00:00:00,140.239998
2023-02-23 00:00:00,140.139999
2023-02-24 00:00:00,139.094994
2023-02-27 00:00:00,139.375000
2023-02-28 00:00:00,138.004997
2023-03-01 00:00:00,137.855003
2023-03-02 00:00:00,138.964996
2023-03-03 00:00:00,141.067497
2023-03-06 00:00:00,140.540001
2023-03-07 00:00:00,138.994995
2023-03-08 00:00:00,137.389999
2023-03-09 00:00:00,137.360001
2023-03-10 00:00:00,137.070000
2023-03-13 00:00:00,137.592499
2023-03-14 00:00:00,139.070000
2023-03-15 00:00:00,140.320000
2023-03-16 00:00:00,142.415001
2023-03-17 00:00:00,142.714996
2023-03-20 00:00:00,144.315002
2023-03-21 00:00:00,144.495003
2023-03-22 00:00:00,144.014999
2023-03-23 00:00:00,144.014999
2023-03-24 00:00:00,145.510002
2023-03-27 00:00:00,146.419998
2023-03-28 00:00:00,146.455002
2023-03-29 00:00:00,146.945000
2023-03-30 00:00:00,147.184998
2023-03-31 00:00:00,148.215004
2023-04-03 00:00:00,148.967499
2023-04-04 00:00:00,150.154999
2023-04-05 00:00:00,151.294998
2023-04-06 00:00:00,152.042503
2023-04-10 00:00:00,151.305000
2023-04-11 00:00:00,150.957504
2023-04-12 00:00:00,150.690002
2023-04-13 00:00:00,151.334999
2023-04-14 00:00:00,151.175003
2023-04-17 00:00:00,151.110001
2023-04-18 00:00:00,151.095001
2023-04-19 00:00:00,151.205002
2023-04-20 00:00:00,150.610001
2023-04-21 00:00:00,155.505005
2023-04-24 00:00:00,155.785004
2023-04-25 00:00:00,156.449997
2023-04-26 00:00:00,154.940002
2023-04-27 00:00:00,155.885002
2023-04-28 00:00:00,156.327499
2023-05-01 00:00:00,156.300003
2023-05-02 00:00:00,156.509995
2023-05-03 00:00:00,156.434998
2023-05-04 00:00:00,155.805000
2023-05-05 00:00:00,155.714996
2023-05-08 00:00:00,155.325005
2023-05-09 00:00:00,154.780006
2023-05-10 00:00:00,153.739998
2023-05-11 00:00:00,154.599998
2023-05-12 00:00:00,155.327507
2023-05-15 00:00:00,156.309998
2023-05-16 00:00:00,155.805000
2023-05-17 00:00:00,155.669998
2023-05-18 00:00:00,152.919998
2023-05-19 00:00:00,152.820000
2023-05-22 00:00:00,150.830002
2023-05-23 00:00:00,148.169998
2023-05-24 00:00:00,146.959999
2023-05-25 00:00:00,145.440002
2023-05-26 00:00:00,145.364998
2023-05-30 00:00:00,143.519997
2023-05-31 00:00:00,142.830002
2023-06-01 00:00:00,143.605003
2023-06-02 00:00:00,145.514999
2023-06-05 00:00:00,145.995003
2023-06-06 00:00:00,145.280006
2023-06-07 00:00:00,144.404999
2023-06-08 00:00:00,145.889999
2023-06-09 00:00:00,146.119995
2023-06-12 00:00:00,146.205002
2023-06-13 00:00:00,144.784996
2023-06-14 00:00:00,145.864998
2023-06-15 00:00:00,147.809998
2023-06-16 00:00:00,149.229996
2023-06-20 00:00:00,148.952499
2023-06-21 00:00:00,148.849998
2023-06-22 00:00:00,150.150002
2023-06-23 00:00:00,149.355003
2023-06-26 00:00:00,148.355003
2023-06-27 00:00:00,149.230003
2023-06-28 00:00:00,149.660004
2023-06-29 00:00:00,148.930000
2023-06-30 00:00:00,150.785004
2023-07-03 00:00:00,151.989998
2023-07-05 00:00:00,151.935005
2023-07-06 00:00:00,151.595001
2023-07-07 00:00:00,150.255005
2023-07-10 00:00:00,148.900002
2023-07-11 00:00:00,148.404999
2023-07-12 00:00:00,148.440002
2023-07-13 00:00:00,148.974998
2023-07-14 00:00:00,149.660004
2023-07-17 00:00:00,149.320000
2023-07-18 00:00:00,148.955002
2023-07-19 00:00:00,149.919998
2023-07-20 00:00:00,150.055000
2023-07-21 00:00:00,152.039993
2023-07-24 00:00:00,153.129997
2023-07-25 00:00:00,153.629997
2023-07-26 00:00:00,153.529999
2023-07-27 00:00:00,153.132500
2023-07-28 00:00:00,155.535004
2023-07-31 00:00:00,156.349998
2023-08-01 00:00:00,156.065002
2023-08-02 00:00:00,156.279999
2023-08-03 00:00:00,156.879997
2023-08-04 00:00:00,156.352501
2023-08-07 00:00:00,156.294998
2023-08-08 00:00:00,157.184998
2023-08-09 00:00:00,157.099998
2023-08-10 00:00:00,156.639999
2023-08-11 00:00:00,156.724998
2023-08-14 00:00:00,156.459999
2023-08-15 00:00:00,155.289993
2023-08-16 00:00:00,153.985001
2023-08-17 00:00:00,152.660004
2023-08-18 00:00:00,152.079994
2023-08-21 00:00:00,151.930000
2023-08-22 00:00:00,151.625000
2023-08-23 00:00:00,152.860001
2023-08-24 00:00:00,152.544998
2023-08-25 00:00:00,153.469994
2023-08-28 00:00:00,153.745003
2023-08-29 00:00:00,153.909996
2023-08-30 00:00:00,154.070000
2023-08-31 00:00:00,154.229996
2023-09-01 00:00:00,154.704994
2023-09-05 00:00:00,153.120003
2023-09-06 00:00:00,152.214996
2023-09-07 00:00:00,153.037498
2023-09-08 00:00:00,153.174995
2023-09-11 00:00:00,154.040001
2023-09-12 00:00:00,153.510002
2023-09-13 00:00:00,152.532501
2023-09-14 00:00:00,154.307503
2023-09-15 00:00:00,153.750000
2023-09-18 00:00:00,154.250000
2023-09-19 00:00:00,153.675003
2023-09-20 00:00:00,153.620003
2023-09-21 00:00:00,152.794998
2023-09-22 00:00:00,152.010002
2023-09-25 00:00:00,150.919998
2023-09-26 00:00:00,149.650002
2023-09-27 00:00:00,148.379997
2023-09-28 00:00:00,147.077499
2023-09-29 00:00:00,146.199997
2023-10-02 00:00:00,144.985001
2023-10-03 00:00:00,145.330002
2023-10-04 00:00:00,145.779999
2023-10-05 00:00:00,144.739998
2023-10-06 00:00:00,143.845001
2023-10-09 00:00:00,143.360001
2023-10-10 00:00:00,144.379997
2023-10-11 00:00:00,144.070000
2023-10-12 00:00:00,143.055000
2023-10-13 00:00:00,143.940002
2023-10-16 00:00:00,145.965004
2023-10-17 00:00:00,146.184998
2023-10-18 00:00:00,150.044998
2023-10-19 00:00:00,148.930000
2023-10-20 00:00:00,148.550003
2023-10-23 00:00:00,148.004997
2023-10-24 00:00:00,149.009995
2023-10-25 00:00:00,150.117500
2023-10-26 00:00:00,150.425003
2023-10-27 00:00:00,148.070000
2023-10-30 00:00:00,148.579994
2023-10-31 00:00:00,149.745003
2023-11-01 00:00:00,150.144997
2023-11-02 00:00:00,150.489998
2023-11-03 00:00:00,150.930000
2023-11-06 00:00:00,150.650002
2023-11-07 00:00:00,150.754997
2023-11-08 00:00:00,150.482498
2023-11-09 00:00:00,150.045006
2023-11-10 00:00:00,151.125000
2023-11-13 00:00:00,151.952507
2023-11-14 00:00:00,152.334999
2023-11-15 00:00:00,151.737495
2023-11-16 00:00:00,152.410004
2023-11-17 00:00:00,151.895004
2023-11-20 00:00:00,150.240005
2023-11-21 00:00:00,149.730003
2023-11-22 00:00:00,150.560005
2023-11-24 00:00:00,151.279999
2023-11-27 00:00:00,151.380005
2023-11-28 00:00:00,151.717499
2023-11-29 00:00:00,151.709999
2023-11-30 00:00:00,152.209999
2023-12-01 00:00:00,152.995003
2023-12-04 00:00:00,151.915001
2023-12-05 00:00:00,149.449997
2023-12-06 00:00:00,146.829994
2023-12-07 00:00:00,146.535004
2023-12-08 00:00:00,145.534996
2023-12-11 00:00:00,145.310005
2023-12-12 00:00:00,145.900002
2023-12-13 00:00:00,147.220001
2023-12-14 00:00:00,146.560005
2023-12-15 00:00:00,143.570000
2023-12-18 00:00:00,145.169998
2023-12-19 00:00:00,145.919998
2023-12-20 00:00:00,144.740005
2023-12-21 00:00:00,144.389999
2023-12-22 00:00:00,144.889999
2023-12-26 00:00:00,145.514999
2023-12-27 00:00:00,145.854996
2023-12-28 00:00:00,145.864998
2023-12-29 00:00:00,146.269997
2024-01-02 00:00:00,147.550003
2024-01-03 00:00:00,148.089996
2024-01-04 00:00:00,148.349998
2024-01-05 00:00:00,148.070000
2024-01-08 00:00:00,148.300003
2024-01-09 00:00:00,148.935005
2024-01-10 00:00:00,149.645004
2024-01-11 00:00:00,150.279999
2024-01-12 00:00:00,150.775002
2024-01-16 00:00:00,149.969994
2024-01-17 00:00:00,149.547501
2024-01-18 00:00:00,148.182503
2024-01-19 00:00:00,147.910004
2024-01-22 00:00:00,147.415001
2024-01-23 00:00:00,153.544998
2024-01-24 00:00:00,153.024994
2024-01-25 00:00:00,154.009995
2024-01-26 00:00:00,155.974998
2024-01-29 00:00:00,156.419998
2024-01-30 00:00:00,156.915001
2024-01-31 00:00:00,157.565002
2024-02-01 00:00:00,157.974998
2024-02-02 00:00:00,158.529999
2024-02-05 00:00:00,158.190002
2024-02-06 00:00:00,158.632500
2024-02-07 00:00:00,159.110001
2024-02-08 00:00:00,158.720001
2024-02-09 00:00:00,157.839996
2024-02-12 00:00:00,157.235001
2024-02-13 00:00:00,157.010002
2024-02-14 00:00:00,155.895004
2024-02-15 00:00:00,156.654999
2024-02-16 00:00:00,157.274994
2024-02-20 00:00:00,158.604996
2024-02-21 00:00:00,159.794998
2024-02-22 00:00:00,160.010002
2024-02-23 00:00:00,160.815002
2024-02-26 00:00:00,160.622498
2024-02-27 00:00:00,159.355003
2024-02-28 00:00:00,159.557503
2024-02-29 00:00:00,159.434998
2024-03-01 00:00:00,158.450005
2024-03-04 00:00:00,158.650002
2024-03-05 00:00:00,159.390007
2024-03-06 00:00:00,159.625000
2024-03-07 00:00:00,160.284996
2024-03-08 00:00:00,160.100006
2024-03-11 00:00:00,161.445000
2024-03-12 00:00:00,161.875000
2024-03-13 00:00:00,162.340004
2024-03-14 00:00:00,161.870003
2024-03-15 00:00:00,161.040001
2024-03-18 00:00:00,161.345001
2024-03-19 00:00:00,161.815002
2024-03-20 00:00:00,162.000000
2024-03-21 00:00:00,161.974998
2024-03-22 00:00:00,161.930000
2024-03-25 00:00:00,160.680000
2024-03-26 00:00:00,160.455002
2024-03-27 00:00:00,161.985001
2024-03-28 00:00:00,162.535004
2024-04-01 00:00:00,161.180000
2024-04-02 00:00:00,160.105003
2024-04-03 00:00:00,158.389999
2024-04-04 00:00:00,156.165001
2024-04-05 00:00:00,155.695000
2024-04-08 00:00:00,156.004997
2024-04-09 00:00:00,156.465004
2024-04-10 00:00:00,156.445000
2024-04-11 00:00:00,156.695000
2024-04-12 00:00:00,155.275002
2024-04-15 00:00:00,155.934998
2024-04-16 00:00:00,155.900002
2024-04-17 00:00:00,156.630005
2024-04-18 00:00:00,156.814995
2024-04-19 00:00:00,156.559998
2024-04-22 00:00:00,159.484993
2024-04-23 00:00:00,161.589996
2024-04-24 00:00:00,161.900002
2024-04-25 00:00:00,162.760002
2024-04-26 00:00:00,161.894997
2024-04-29 00:00:00,161.415001
2024-04-30 00:00:00,162.519997
2024-05-01 00:00:00,163.339996
2024-05-02 00:00:00,163.689995
2024-05-03 00:00:00,164.000000
2024-05-06 00:00:00,164.610001
2024-05-07 00:00:00,165.369995
2024-05-08 00:00:00,165.525002
2024-05-09 00:00:00,165.544998
2024-05-10 00:00:00,166.470001
2024-05-13 00:00:00,166.360001
2024-05-14 00:00:00,165.644997
2024-05-15 00:00:00,165.909996
2024-05-16 00:00:00,167.394997
2024-05-17 00:00:00,167.654999
2024-05-20 00:00:00,167.430000
2024-05-21 00:00:00,168.055000
2024-05-22 00:00:00,167.909996
2024-05-23 00:00:00,166.389999
2024-05-24 00:00:00,165.590004
2024-05-28 00:00:00,163.800003
2024-05-29 00:00:00,162.149994
2024-05-30 00:00:00,162.114998
2024-05-31 00:00:00,163.489998
2024-06-03 00:00:00,164.289993
2024-06-04 00:00:00,165.899994
2024-06-05 00:00:00,166.529999
2024-06-06 00:00:00,167.150002
2024-06-07 00:00:00,167.729996
2024-06-10 00:00:00,167.065002
2024-06-11 00:00:00,167.224998
2024-06-12 00:00:00,166.339996
2024-06-13 00:00:00,165.440002
2024-06-14 00:00:00,166.389999
2024-06-17 00:00:00,166.675003
2024-06-18 00:00:00,167.794998
2024-06-20 00:00:00,168.019997
2024-06-21 00:00:00,167.869995
2024-06-24 00:00:00,168.604996
2024-06-25 00:00:00,167.740005
2024-06-26 00:00:00,166.750000
2024-06-27 00:00:00,167.055000
2024-06-28 00:00:00,165.459999
2024-07-01 00:00:00,164.154999
2024-07-02 00:00:00,163.239998
